location,startTime,crs,sbc,likes,most_recent_instructor,id,day,past_instructors,endTime,sctn,credits,subj,avgGrade,cmp,recent_two_instructors,semesters,courseTitle,classNbr
"{B205, B205}","10:30 AM, 10:30 AM",312,"CER, ESI, STAS",0,?,6436c2a33023723180f7eb89,"MW, MW",{},"11:50 AM, 11:50 AM",90,3,CSE,0,LEC,{},?,"Legal, Social, and Ethical Issues in Information Systems","54742, 52149"
"{B103, B205, B205, B205}","12:30 PM, 10:30 AM, 12:30 PM, 12:30 PM",320,NaN,0,?,6436c2667efba14cf3f90027,"TUTH, TUTH, TUTH, TUTH",{},"1:50 PM, 11:50 AM, 1:50 PM, 1:50 PM",90,3,CSE,0,LEC,{},?,Systems Fundamentals II,"95543, ?, 92321, 52104"
"{B204, B207}","10:30 AM, 10:30 AM",331,NaN,0,?,6436c2667efba14cf3f90028,"TUTH, TUTH",{},"11:50 AM, 11:50 AM",90,3,CSE,0,LEC,{},?,Computer Security Fundamentals,"96333, 56523"
"{B314, A312, B207}","2:00 PM, 2:00 PM, 2:00 PM",352,NaN,0,?,6436c2667efba14cf3f90029,"MW, TUTH, MW",{},"3:20 PM, 3:20 PM, 3:20 PM",90,3,CSE,0,LEC,{},?,Artificial Intelligence,"95467, 92281, 56524"
{B207},2:00 PM,353,NaN,0,?,6436c2a43023723180f7eb8c,TUTH,{},3:20 PM,90,3,CSE,0,LEC,{},?,Machine Learning,56207
"{B203, B205}","9:00 AM, 5:00 PM",373,NaN,0,?,6436c2667efba14cf3f9002a,"MW, TUTH",{},"10:20 AM, 6:20 PM",90,3,CSE,0,LEC,{},?,Analysis of Algorithms,"95413, 92239"
"{A704, B313}","10:30 AM, 9:00 AM",534,NaN,0,?,6436c2677efba14cf3f90044,"MW, TUTH",{},"11:50 AM, 10:20 AM",90,3,CSE,0,LEC,{},?,Fundament of Computer Networks,"95660, 92386"
"{A312, B314}","3:30 PM, 3:30 PM",537,NaN,0,?,6436c2677efba14cf3f90045,"MW, MW",{},"4:50 PM, 4:50 PM",90,3,CSE,0,LEC,{},?,Artificial Intelligence,"96328, 92471"
"{-, -, -}","-, -, -",596,NaN,0,?,6436c2687efba14cf3f9004b,"APPT, APPT, APPT",{},"-, -, -",,1,CSE,0,TUT,{},?,MS Internship Prog Off-Campus,
"{-, B205, B205}","6:30 PM, 6:30 PM, 6:30 PM",656,NaN,0,?,6436c2a63023723180f7ebad,"TU, TU, TU",{},"7:50 PM, 7:50 PM, 7:50 PM",S90,1,CSE,0,SEM,{},?,Seminar in Computer Vision,"54911, 96943, 52257"
"{nan, -}","6:30 PM, 6:30 PM",659,NaN,0,?,6436c2687efba14cf3f90054,"TU, TU",{},"7:50 PM, 7:50 PM",S90,1,CSE,0,SEM,{},?,Seminar in Computer Security,96323
"{-, -, -, -}","-, -, -, -",698,NaN,0,?,6436c2687efba14cf3f90055,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,0 to 3,CSE,0,TUT,{},?,Practicum in Teaching,
"{-, -, -, -}","-, -, -, -",699,NaN,0,?,6436c2687efba14cf3f90057,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,0 to 9,CSE,0,TUT,{},?,Dissertation Research on Campus,
"{B204, B613}","9:00 AM, 9:00 AM",271,NaN,0,?,65e58965ee7bd45c98acc770,"TUTH, MW",{},"10:20 AM, 10:20 AM",90,3,ESE,0,LEC,{},?,Electrical Circuit Analysis,"96955, 56477"
{B613(C508)},10:30 AM(2:00 PM),272,NaN,0,?,65e58fa6ee7bd45c98acc778,TUTH(TU),{},11:50 AM(4:50 PM),90(L90),4,ESE,0,LEC(LAB),{},?,Electronics,56530(56529)
"{B205, B613}","10:30 AM, 10:30 AM",305,NaN,0,?,65e588acee7bd45c98acc76e,"MW, MW",{},"11:50 AM, 11:50 AM",90,3,ESE,0,LEC,{},?,Deterministic Signals and Systems,"96981, 56473"
"{B203, B314}","3:30 PM, 3:30 PM",327,NaN,0,?,6436c2a33023723180f7eb8b,"TUTH, TUTH",{},"4:50 PM, 4:50 PM",90,3,CSE,0,LEC,{},?,Fundamentals of Computer Vision,"54804, 52191"
{B313},2:00 PM,502,NaN,0,?,6436c2677efba14cf3f9003f,MW,{},3:20 PM,90,3,CSE,0,LEC,{},?,Computer Architecture,95658
