Class Nbr,Subj,CRS,,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
52368,ESE,118,Digital Logic Design,TECH,LEC,90,4,TUTH,10:30AM,11:50AM,A704,Ji-Woong Lee
52369,LAB,L90,TH,2:00PM,4:50PM,C607,,,,,,
52358,ESE,123,"Introduction to Electrical and Computer Engineering*Note: Extra course fee $73",TECH,LEC,90,4,MF,12:30 PM,1:50 PM,B206,Sangjin Hong
52359,LAB,L90,TU,5:00PM,7:50PM,C508,,,,,,
56831,ESE,124,Programming Fundamentals,TECH,LEC,90,4,M,6:30 PM,8:50 PM,B614,Sangjin Hong
56832,LAB,L90,W,6:30 PM,9:20 PM,B614,,,,,,
56528,ESE,224,Advanced Programming and Data Structures,,LEC,90,4,TUTH,12:30 PM,1:50 PM,B613,Sangjin Hong
56527,LAB,L90,F,2:00PM,5:00PM,B613,,,,,,
56477,ESE,271,Electrical Circuit Analysis,,LEC,90,3,MW,9:00AM,10:20AM,B613,Ji-Woong Lee
56530,ESE,272,Electronics,,LEC,90,4,TUTH,10:30AM,11:50AM,B613,Sangjin Hong
56529,LAB,L90,TU,2:00PM,4:50PM,C508,,,,,,
56491,ESE,273,Microelectronic Circuits,,LEC,90,3,MW,2:00PM,3:20PM,B613,Gilwon Yoon
56473,ESE,305,Deterministic Signals and Systems,,LEC,90,3,MW,10:30AM,11:50AM,B613,Gilwon Yoon
56492,ESE,306,Random Signals and Systems,,LEC,90,3,MW,5:00PM,6:20PM,B104,Ji-Woong Lee
52360,ESE,475,Undergraduate Teaching Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Sangjin Hong
52361,ESE,476,Undergraduate Teaching Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Sangjin Hong
52362,ESE,488,Internship in Electrical/Computer Engineering,EXP+,TUT,90,3,APPT,1:00 AM,1:00 AM,-,Sangjin Hong
56475,ESE,488,Internship in Electrical/Computer Engineering,EXP+,TUT,90,3,APPT,1:00 AM,1:00 AM,-,Ji-Woong Lee
52363,ESE,499,Research in Electrical Sciences,,TUT,90,0 to 3,APPT,1:00 AM,1:00 AM,-,Sangjin Hong
56476,ESE,499,Research in Electrical Sciences,,TUT,90,0 to 3,APPT,1:00 AM,1:00 AM,-,Ji-Woong Lee
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
52364,EST,100,"Designing, Producing & Presenting Multimedia Projects",TECH,LEC,90,3,MW,5:00 PM,6:20 PM,A115,Maurice Bess
52203,EST,194,Decision-making,QPS,LEC,90,3,MW,2:00 PM,3:20 PM,A704,Mark Whitaker
52177,EST,202,"Introduction to Science, Technology, and Society Studies",TECH,LEC,90,3,MW,3:30 PM,4:50 PM,B207,Anthony Pennings
52221,EST,204,Modern Digital Tech Innovation,TECH,LEC,90,3,TUTH,10:30 AM,11:50 AM,B205,James Larson
52204,EST,207,Interaction Design,TECH,LEC,90,3,TUTH,2:00 PM,3:20 PM,B207,Neal Dreamson
52365,EST,221,Multimedia for Online Content Platforms,TECH,LEC,90,3,MW,5:00 PM,6:20 PM,A314,Cornelius Bradter
52039,EST,230,Information and Communications Technology for Sustainable Development,TECH,LEC,90,3,TUTH,5:00 PM,6:20 PM,B203,Saebom Jin
52106,EST,240,Visual Rhetoric and Information Technology,TECH,LEC,90,3,TUTH,3:30 PM,4:50 PM,B203,Anthony Pennings
52147,EST,304,Communication for Engineers and Scientists,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B314,Su Hyeong Kim
52040,EST,305,Applications Software for Information Management,,LEC,90,3,MW,2:00 PM,3:20 PM,A115,Maurice Bess
52108,EST,310,Design of Computer Games,TECH,LEC,90,3,MW,10:30 AM,11:50 AM,A312,Maurice Bess
52142,EST,320,Communication Technology Systems,STAS,LEC,90,3,TUTH,3:30 PM,4:50 PM,B105,Suzana Brown
52178,EST,325,Technology in the Workplace,STAS,LEC,90,3,TUTH,12:30 PM,1:50 PM,A312,Gayoung Park
52140,EST,326,Management for Engineers,,LEC,90,3,TUTH,5:00 PM,6:20 PM,A211,Joseph Cabuay
52222,EST,327,"Systems Engineering Management, Elements of Product Design and Development",,LEC,90,3,TUTH,9:00 AM,10:20 AM,B207,Hyoung Ryul Ma
52166,EST,331,Engineering Ethics,STAS,LEC,90,3,TUTH,3:30 PM,4:50 PM,B207,Joseph Cabuay
52179,EST,371,Data Science Management,,LEC,90,3,TUTH,5:00 PM,6:20 PM,B205,TBA
52111,EST,372,The Mobile Revolution in Development,,LEC,90,3,F,9:30 AM,12:20 PM,B205,Jin-sang Lee
52110,EST,391,Technology Assessment,STAS,LEC,90,3,TUTH,9:00 AM,10:20 AM,B105,Suzana Brown
52041,EST,392,Engineering Economics,SBS,LEC,90,3,TUTH,12:30 PM,1:50 PM,B207,Anthony Pennings
52042,EST,393,Project Management,,LEC,90,1 to 3,MW,10:30 AM,11:50 AM,C107,TBA
"",,,,"Partially: CER, ESI,",,,,,,,,
52043,EST,440,Interdisciplinary Research Methods,"EXP+, SBS+, SPK,",LEC,90,1 to 3,TUTH,10:30 AM,11:50 AM,C105,Sira Maliphol
"",,,,"STEM+, WRTD",,,,,,,,
"",,,,"Partially: CER, ESI,",,,,,,,,
52105,EST,441,Interdisciplinary Senior Project,"EXP+, SBS+, SPK,",LEC,90,1 to 3,TUTH,10:30 AM,11:50 AM,A117,Neal Dreamson
"",,,,"STEM+, WRTD",,,,,,,,
56743,EST,475,Undergraduate Teaching Practicum (Tutorial),EXP+,TUT,T93,3,APPT,1:00 AM,1:00 AM,,Anthony Pennings
52233,EST,488,Internship in Tech & Society,EXP+,TUT,T101,1 to 3,APPT,1:00 AM,1:00 AM,-,Joseph Cabuay
